Name,V1,V2,E1,E2,EAlphaHat,D1,D2,AddedNodes,EdgesPerAddedNode,AddedEdges,RemovedEdges,Accuracy,NodeCorrectness,Time,Generated,Alignment,Corrects,Mistakes,FP,FN,FBetaStar,NodeCorrectness,Time,Generated,Alignment,Corrects,Mistakes,FP,FN,SameAlignment?,DeltaGenerated,DeltaTime,%generated,%time
ER-12-17-1595193788199,12,14,17,23,19.0,0.25757575757575757,0.25274725274725274,2,2,5,3,0.9090909090909091,0.75,87207,356710347,14 2 3 4 5 9 7 8 1 10 11 12 ,60.0,6.0,3.0,3.0,0.8359133126934984,1.0,163553,668697377,1 2 3 4 5 6 7 8 9 10 11 12 ,60.0,6.0,2.0,4.0,False,-311987030,-76346,-87,-87
ER-12-18-1595193788199,12,14,18,24,20.0,0.2727272727272727,0.26373626373626374,2,2,3,1,0.9696969696969697,0.8333333333333334,3222,13184025,1 2 4 13 5 6 7 8 9 10 11 12 ,64.0,2.0,2.0,0.0,0.9382716049382716,0.8333333333333334,3497,14384697,1 2 4 13 5 6 7 8 9 10 11 12 ,64.0,2.0,2.0,0.0,True,-1200672,-275,-9,-8
ER-12-18-1595193788199,12,14,18,24,20.0,0.2727272727272727,0.26373626373626374,2,2,4,2,0.9393939393939394,0.08333333333333333,1208,4979424,2 1 11 5 4 10 8 7 9 6 13 3 ,62.0,4.0,2.0,2.0,0.888888888888889,0.08333333333333333,1414,5831803,2 1 11 5 4 10 8 7 9 6 13 3 ,62.0,4.0,2.0,2.0,True,-852379,-206,-17,-17
ER-12-18-1595193788199,12,14,18,24,20.0,0.2727272727272727,0.26373626373626374,2,2,5,3,0.9090909090909091,0.08333333333333333,6549,26841554,3 11 8 7 12 10 6 5 9 4 2 14 ,60.0,6.0,3.0,3.0,0.8333333333333333,0.08333333333333333,7118,29069787,3 11 8 7 12 10 6 5 9 4 2 14 ,60.0,6.0,3.0,3.0,True,-2228233,-569,-8,-8
ER-12-19-1595193788226,12,14,19,25,21.0,0.2878787878787879,0.27472527472527475,2,2,3,1,0.9545454545454546,0.9166666666666666,3384,13908934,1 2 3 4 5 6 7 8 9 10 11 14 ,63.0,3.0,0.0,3.0,0.9302325581395349,0.9166666666666666,4446,18145551,1 2 3 4 5 6 7 8 9 10 11 14 ,63.0,3.0,0.0,3.0,True,-4236617,-1062,-30,-31
ER-12-19-1595193788226,12,14,19,25,21.0,0.2878787878787879,0.27472527472527475,2,2,4,2,0.9545454545454546,0.08333333333333333,2769,11447369,10 14 1 12 5 8 9 7 4 2 6 3 ,63.0,3.0,2.0,1.0,0.9176788124156545,0.08333333333333333,3308,13646121,10 14 1 12 5 8 9 7 4 2 6 3 ,63.0,3.0,2.0,1.0,True,-2198752,-539,-19,-19
ER-12-19-1595193788226,12,14,19,25,21.0,0.2878787878787879,0.27472527472527475,2,2,5,3,0.9696969696969697,1.0,4509,18433101,1 2 3 4 5 6 7 8 9 10 11 12 ,64.0,2.0,0.0,2.0,0.9523809523809523,1.0,5904,23865267,1 2 3 4 5 6 7 8 9 10 11 12 ,64.0,2.0,0.0,2.0,True,-5432166,-1395,-29,-30
ER-12-20-1595193788228,12,14,20,26,22.0,0.30303030303030304,0.2857142857142857,2,2,3,1,0.9696969696969697,0.8333333333333334,3388,14577152,1 2 3 5 4 6 7 8 9 10 11 12 ,64.0,2.0,0.0,2.0,0.9545454545454545,0.8333333333333334,8959,38324751,1 2 3 5 4 6 7 8 9 10 11 12 ,64.0,2.0,0.0,2.0,True,-23747599,-5571,-162,-164
ER-12-20-1595193788228,12,14,20,26,22.0,0.30303030303030304,0.2857142857142857,2,2,4,2,0.9242424242424242,0.6666666666666666,20186,84961585,1 2 3 5 14 6 7 8 4 10 13 12 ,61.0,5.0,3.0,2.0,0.8790697674418605,0.8333333333333334,49829,209562389,1 2 3 5 14 6 7 8 9 10 11 12 ,61.0,5.0,2.0,3.0,False,-124600804,-29643,-146,-146
ER-12-20-1595193788228,12,14,20,26,22.0,0.30303030303030304,0.2857142857142857,2,2,5,3,0.9242424242424242,0.25,16671,71758544,8 11 2 7 3 13 1 5 9 10 14 12 ,61.0,5.0,2.0,3.0,0.8790697674418605,0.25,33245,140852572,8 11 2 7 3 13 1 5 9 10 14 12 ,61.0,5.0,2.0,3.0,True,-69094028,-16574,-96,-99
