Name,V1,V2,E1,E2,EAlphaHat,D1,D2,AddedNodes,EdgesPerAddedNode,AddedEdges,RemovedEdges,WAcc,NodeCorrectness,Time,Generated,Alignment,Corrects,Mistakes,FP,FN,FBetaHash,NodeCorrectness,Time,Generated,Alignment,Corrects,Mistakes,FP,FN,SameAlignment?,DeltaGenerated,DeltaTime,%generated,%time
ER-12-17-1595193788199,12,14,17,23,19.0,0.25757575757575757,0.25274725274725274,2,2,5,3,0.900360144057623,1.0,184764,752776677,1 2 3 4 5 6 7 8 9 10 11 12 ,60.0,6.0,2.0,4.0,0.8719062399773863,1.0,283798,1126974851,1 2 3 4 5 6 7 8 9 10 11 12 ,60.0,6.0,2.0,4.0,True,-374198174,-99034,-49,-53
ER-12-18-1595193788199,12,14,18,24,20.0,0.2727272727272727,0.26373626373626374,2,2,3,1,0.9444444444444444,0.8333333333333334,2452,10195662,1 2 4 13 5 6 7 8 9 10 11 12 ,64.0,2.0,2.0,0.0,0.9334835986955687,1.0,1880,7653320,1 2 3 4 5 6 7 8 9 10 11 12 ,62.0,4.0,1.0,3.0,False,2542342,572,24,23
ER-12-18-1595193788199,12,14,18,24,20.0,0.2727272727272727,0.26373626373626374,2,2,4,2,0.9305555555555556,0.16666666666666666,1330,5530460,12 2 14 8 9 6 10 4 5 7 1 11 ,61.0,5.0,1.0,4.0,0.9280980308015067,0.16666666666666666,1129,4568896,12 2 14 8 9 6 10 4 5 7 1 11 ,61.0,5.0,1.0,4.0,True,961564,201,17,15
ER-12-18-1595193788199,12,14,18,24,20.0,0.2727272727272727,0.26373626373626374,2,2,5,3,0.8923611111111112,0.0,6042,24979401,3 11 8 7 4 10 6 5 14 1 2 9 ,59.0,7.0,2.0,5.0,0.8735040289896534,0.0,3873,15700348,3 11 8 7 4 10 6 5 14 1 2 9 ,59.0,7.0,2.0,5.0,True,9279053,2169,37,35
ER-12-19-1595193788226,12,14,19,25,21.0,0.2878787878787879,0.27472527472527475,2,2,3,1,0.9680851063829787,0.9166666666666666,4442,18071258,1 2 3 4 5 6 7 8 9 10 11 14 ,63.0,3.0,0.0,3.0,0.9829703610262612,0.9166666666666666,4477,17605508,1 2 3 4 5 6 7 8 9 10 11 14 ,63.0,3.0,0.0,3.0,True,465750,-35,2,0
ER-12-19-1595193788226,12,14,19,25,21.0,0.2878787878787879,0.27472527472527475,2,2,4,2,0.9367301231802911,0.08333333333333333,3240,13375576,10 14 1 12 5 8 9 7 4 2 6 3 ,63.0,3.0,2.0,1.0,0.8999338617283423,0.08333333333333333,3515,14060500,10 14 1 12 5 8 9 7 4 2 6 3 ,63.0,3.0,2.0,1.0,True,-684924,-275,-5,-8
ER-12-19-1595193788226,12,14,19,25,21.0,0.2878787878787879,0.27472527472527475,2,2,5,3,0.9787234042553192,1.0,6005,24313068,1 2 3 4 5 6 7 8 9 10 11 12 ,64.0,2.0,0.0,2.0,0.9885820930732413,1.0,6359,24915491,1 2 3 4 5 6 7 8 9 10 11 12 ,64.0,2.0,0.0,2.0,True,-602423,-354,-2,-5
ER-12-20-1595193788228,12,14,20,26,22.0,0.30303030303030304,0.2857142857142857,2,2,3,1,0.9782608695652174,0.8333333333333334,13223,57125195,1 2 3 5 4 6 7 8 9 10 11 12 ,64.0,2.0,0.0,2.0,0.9887289249526491,0.8333333333333334,30459,131730831,1 2 3 5 4 6 7 8 9 10 11 12 ,64.0,2.0,0.0,2.0,True,-74605636,-17236,-130,-130
ER-12-20-1595193788228,12,14,20,26,22.0,0.30303030303030304,0.2857142857142857,2,2,4,2,0.9173913043478261,0.8333333333333334,76192,321632740,1 2 3 5 14 6 7 8 9 10 11 12 ,61.0,5.0,2.0,3.0,0.8948992708783288,0.8333333333333334,217844,921460096,1 2 3 5 14 6 7 8 9 10 11 12 ,61.0,5.0,2.0,3.0,True,-599827356,-141652,-186,-185
ER-12-20-1595193788228,12,14,20,26,22.0,0.30303030303030304,0.2857142857142857,2,2,5,3,0.9206521739130434,0.16666666666666666,36076,155929777,8 11 2 7 3 13 1 5 4 10 14 12 ,60.0,6.0,1.0,5.0,0.9288236377778688,0.16666666666666666,44963,190924810,8 11 2 7 3 13 1 5 4 10 14 12 ,60.0,6.0,1.0,5.0,True,-34995033,-8887,-22,-24
